text,label
The firm shall submit a corporate safety policy document duly signed by the CEO.,SAFETY_REGULATORY_COMPLIANCE
Environmental clearance certificates and statutory approvals must be submitted.,SAFETY_REGULATORY_COMPLIANCE
Contractor shall maintain Lost Time Injury Frequency Rate below 0.5 as per OSHA standards.,SAFETY_REGULATORY_COMPLIANCE
Submit proof of safety training and HSE certifications for key site personnel.,SAFETY_REGULATORY_COMPLIANCE
The pipeline contractor shall establish emergency response procedures for hydrocarbon leaks.,SAFETY_REGULATORY_COMPLIANCE
The bidder shall ensure minimum 50 percent local content by value in the project.,MAKE_IN_INDIA_LOCAL_CONTENT
Make in India declaration confirming indigenous content above specified threshold.,MAKE_IN_INDIA_LOCAL_CONTENT
Local content certificate from cost auditor is mandatory for MII compliance.,MAKE_IN_INDIA_LOCAL_CONTENT
The contractor must comply with the Public Procurement (Preference to Make in India) Order 2017.,MAKE_IN_INDIA_LOCAL_CONTENT
Minimum 40 percent local manufacturing content as per DPIIT guidelines.,MAKE_IN_INDIA_LOCAL_CONTENT
Self-declaration of local content and percentage of indigenous materials used.,MAKE_IN_INDIA_LOCAL_CONTENT
Bidder shall submit MII certificate confirming compliance with local content norms.,MAKE_IN_INDIA_LOCAL_CONTENT
Line pipe sourced from domestic manufacturers must meet minimum 60 percent local content.,MAKE_IN_INDIA_LOCAL_CONTENT
Make in India preference applies to categories notified by the nodal ministry.,MAKE_IN_INDIA_LOCAL_CONTENT
The awarded contractor must procure steel from domestic steel producers as per MSTC guidelines.,MAKE_IN_INDIA_LOCAL_CONTENT
Submit local content self-declaration on company letterhead for each major supply item.,MAKE_IN_INDIA_LOCAL_CONTENT
