requirement_id,source_document,page_number,original_text,normalized_text,category,domain_relevance,minimum_value,maximum_value,unit,currency,percentage,count,length_km,diameter_inch,experience_years,time_period_years,date,project_type,sector,role,qualification,scope,entities,extraction_method,classification_confidence,review_status
REQ-PDF-0011,Tender_MOPNG_PIPE_2026_017.pdf,1,7. CHECK 6 (R06): TECHNICAL MANPOWER Bidder must commit and deploy a minimum of 5 qualified pipeline engineers (B.Tech / B.E. Mechanical / Pipeline / NDT Level II) with at least 8 years of relevant site experience.,7. CHECK 6 (R06): TECHNICAL MANPOWER Bidder must commit and deploy a minimum of 5 qualified pipeline engineeINR (B.Tech / B.E. Mechanical / Pipeline / NDT Level II) with at least 8 yeaINR of relevant site experience.,EXPERIENCE_ELIGIBILITY,PETROLEUM_PIPELINE,,,,,,,,,,,,Cross-Country Pipeline,Petroleum & Natural Gas,,,,[],LLM_EXTRACTION,0.347,PENDING
REQ-PDF-0012,Tender_MOPNG_PIPE_2026_017.pdf,1,8. CHECK 7 (R07): HSE & SAFETY COMPLIANCE Bidder must maintain certified Occupational Health & Safety (ISO 45001) and Environmental Management (ISO 14001) systems with a zero-fatality site safety policy. Generated: 2026-09-06 13:16:23 UTC | MoPNG Official Stamp,8. CHECK 7 (R07): HSE & SAFETY COMPLIANCE Bidder must maintain certified Occupational Health & Safety (ISO 45001) and Environmental Management (ISO 14001) systems with a zero-fatality site safety policy. Generated: 2026-09-06 13:16:23 UTC | MoPNG Official Stamp,SAFETY_REGULATORY_COMPLIANCE,OIL_GAS,,,,,,,,,,,2026-09,,,,,ISO 45001 / OISD Safety Management,"[""ISO 45001 Certificate"", ""Financial Year: 2026-09"", ""Standard: ISO 45001"", ""Standard: ISO 14001""]",LLM_WITH_REGEX_FALLBACK,0.763,PENDING
REQ-PDF-0013,Tender_ONGC_2026_MII_3320.pdf,1,1. SCOPE OF WORK Construction of 80 km Offshore to Onshore Gas Feeder Line at Hazira.,1. SCOPE OF WORK Construction of 80 KM Offshore to Onshore Gas Feeder Line at Hazira.,EXPERIENCE_ELIGIBILITY,GENERAL_GOVERNMENT_PROCUREMENT,80.0,,KM,INR,,,80.0,,,,,Cross-Country Pipeline,Petroleum & Natural Gas,,,,"[""Length: 80.0 KM"", ""Currency: 80.0 THOUSAND (INR 80,000)""]",LLM_WITH_REGEX_FALLBACK,0.209,PENDING
REQ-PDF-0014,Tender_ONGC_2026_MII_3320.pdf,1,"2. STATUTORY & FINANCIAL Active GSTIN, PAN, and minimum average annual turnover of INR 25.00 Crore.","2. STATUTORY & FINANCIAL Active GSTIN, PAN, and minimum average annual turnover of INR 25.00 Crore",FINANCIAL_ELIGIBILITY,GENERAL_GOVERNMENT_PROCUREMENT,25.0,,CRORE,INR,,,,,,,,,,,,Mandatory Active GSTIN Registration & Returns,"[""GST Registration Certificate"", ""Currency: 25.0 CRORE (INR 250,000,000)""]",LLM_WITH_REGEX_FALLBACK,0.744,PENDING
REQ-PDF-0015,Tender_ONGC_2026_MII_3320.pdf,1,3. EXPERIENCE & MANPOWER Oil & Gas subsea/onshore pipeline experience and qualified engineering manpower.,3. EXPERIENCE & MANPOWER Oil & Gas subsea/onshore pipeline experience and qualified engineering manpower.,EXPERIENCE_ELIGIBILITY,PETROLEUM_PIPELINE,,,,,,,,,,,,Oil & Gas Pipeline,Petroleum & Natural Gas,,,,[],LLM_EXTRACTION,0.703,PENDING
REQ-PDF-0016,Tender_ONGC_2026_MII_3320.pdf,1,4. CHECK 7: MAKE IN INDIA LOCAL CONTENT Minimum 50% Local Content requirement (Class-I Local Supplier under MoPNG PPP-MII policy). Generated: 2026-09-06 13:16:23 UTC | MoPNG Official Stamp,4. CHECK 7: MAKE IN INDIA LOCAL CONTENT Minimum 50% Local Content requirement (Class-I Local Supplier under MoPNG PPP-MII policy). Generated: 2026-09-06 13:16:23 UTC | MoPNG Official Stamp,MAKE_IN_INDIA_LOCAL_CONTENT,OIL_GAS,50.0,,PERCENT,,50.0,,,,,,2026-09,,,,,,"[""Local Content: 50.0%"", ""Financial Year: 2026-09"", ""Percentage: 50.0%""]",LLM_WITH_REGEX_FALLBACK,0.766,PENDING
REQ-PDF-0017,Financial_Statement_Praveen.pdf,1,PRAVEEN B S ENGINEERING SERVICES - CA AUDITED FINANCIAL TURNOVER MINISTRY OF PETROLEUM & NATURAL GAS - PIPELINE TENDER DOSSIER,PRAVEEN B S ENGINEERING SERVICES - CA AUDITED FINANCIAL TURNOVER MINISTRY OF PETROLEUM & NATURAL GAS - PIPELINE TENDER DOSSIER,EXPERIENCE_ELIGIBILITY,PETROLEUM_PIPELINE,,,,,,,,,,,,Natural Gas Pipeline,Oil & Gas,,,,[],LLM_EXTRACTION,0.286,PENDING
REQ-PDF-0018,Financial_Statement_Praveen.pdf,1,1. INDEPENDENT CHARTERED ACCOUNTANT CERTIFICATE We have audited the books of accounts of M/s PRAVEEN B S ENGINEERING SERVICES. The annual turnover is certified as follows:,1. INDEPENDENT CHARTERED ACCOUNTANT CERTIFICATE We have audited the books of accounts of M/s PRAVEEN B S ENGINEERING SERVICES. The annual turnover is certified as follows:,FINANCIAL_ELIGIBILITY,GENERAL_GOVERNMENT_PROCUREMENT,,,,,,,,,,,,,Oil & Gas,,,,[],LLM_EXTRACTION,0.536,PENDING
REQ-PDF-0019,Financial_Statement_Praveen.pdf,1,2. FINANCIAL YEAR BREAKDOWN FY 2023-24: INR 30 Crore FY 2024-25: INR 27 Crore FY 2025-26: INR 24 Crore,2. FINANCIAL Years BREAKDOWN FY 2023-24: INR 30 Crore FY 2024-25: INR 27 Crore FY 2025-26: INR 24 Crore,FINANCIAL_ELIGIBILITY,GENERAL_GOVERNMENT_PROCUREMENT,30.0,,CRORE,INR,,,,,,,FY 2023-24,,Oil & Gas,,,,"[""Turnover: 30.0 CRORE"", ""Currency: 30.0 CRORE (INR 300,000,000)"", ""Financial Year: FY 2023-24"", ""Financial Year: FY 2024-25"", ""Financial Year: FY 2025-26""]",LLM_WITH_REGEX_FALLBACK,0.58,PENDING
REQ-PDF-0020,Financial_Statement_Praveen.pdf,1,"3. THREE-YEAR ARITHMETIC AVERAGE The bidder reported annual turnover of INR 30 Crore for FY 2023-24, INR 27 Crore for FY 2024-25 and INR 24 Crore for FY 2025-26. Average Annual Turnover = (30 + 27 + 24) / 3 = INR 27 Crore (Exceeds mandatory tender requirement of INR 25 Crore). Generated: 2026-09-06 13:16:23 UTC | MoPNG Official Stamp","3. THREE-Years ARITHMETIC AVERAGE The bidder reported annual turnover of INR 30 Crore for FY 2023-24, INR 27 Crore for FY 2024-25 and INR 24 Crore for FY 2025-26. Average Annual Turnover = (30 + 27 + 24) / 3 = INR 27 Crore (Exceeds mandatory tender requirement of INR 25 Crore). Generated: 2026-09-06 13:16:23 UTC | MoPNG Official Stamp",FINANCIAL_ELIGIBILITY,OIL_GAS,30.0,,CRORE,INR,,,,,,,FY 2023-24,,Oil & Gas,,,,"[""Turnover: 30.0 CRORE"", ""Currency: 30.0 CRORE (INR 300,000,000)"", ""Financial Year: FY 2023-24"", ""Financial Year: FY 2024-25"", ""Financial Year: FY 2025-26"", ""Financial Year: 2026-09""]",LLM_WITH_REGEX_FALLBACK,0.829,PENDING
REQ-PDF-0021,Indus_Pipeline_60km_Experience.pdf,1,INDUS PIPELINE INFRASTRUCTURE - PIPELINE COMPLETION CERTIFICATE MINISTRY OF PETROLEUM & NATURAL GAS - PIPELINE TENDER DOSSIER,INDUS PIPELINE INFRASTRUCTURE - PIPELINE COMPLETION CERTIFICATE MINISTRY OF PETROLEUM & NATURAL GAS - PIPELINE TENDER DOSSIER,EXPERIENCE_ELIGIBILITY,PETROLEUM_PIPELINE,,,,,,,,,,,,Natural Gas Pipeline,Hydrocarbon Pipeline Infrastructure,,,,[],LLM_EXTRACTION,0.533,PENDING
REQ-PDF-0022,Indus_Pipeline_60km_Experience.pdf,1,"1. IOCL MATHURA-TUNDLA SPUR PIPELINE Client: Indian Oil Corporation Limited Scope: Construction of 60 km, 18-inch OD petroleum spur pipeline. Completed: March 2022 | Executed Length: 60 km (Below mandatory 100 km threshold). Generated: 2026-09-06 13:16:23 UTC | MoPNG Official Stamp","1. IOCL MATHURA-TUNDLA SPUR PIPELINE Client: Indian Oil Corporation Limited Scope: Construction of 60 KM, 18-inch OD petroleum spur pipeline. Completed: March 2022 | Executed Length: 60 KM (Below mandatory 100 KM threshold). Generated: 2026-09-06 13:16:23 UTC | MoPNG Official Stamp",EXPERIENCE_ELIGIBILITY,PETROLEUM_PIPELINE,60.0,,KM,INR,,,60.0,18.0,,,2026-09,Oil & Gas Pipeline,Petroleum & Natural Gas,,,,"[""Length: 60.0 KM"", ""Diameter: 18.0 Inch"", ""Currency: 60.0 THOUSAND (INR 60,000)"", ""Financial Year: 2026-09""]",LLM_WITH_REGEX_FALLBACK,0.336,PENDING
REQ-PDF-0023,Indus_Pipeline_Manpower_CVs.pdf,1,1. Pankaj Verma (Pipeline Engineer) - 8.5 years experience 2. Sunil Kumar (Mechanical Engineer) - 9.0 years experience 3. Ankit Mishra (Safety Officer) - 8.0 years experience (Total qualifying personnel: 3 engineers vs 5 mandatory). Generated: 2026-09-06 13:16:23 UTC | MoPNG Official Stamp,1. Pankaj Verma (Pipeline Engineer) - 8.5 yeaINR experience 2. Sunil Kumar (Mechanical Engineer) - 9.0 yeaINR experience 3. Ankit Mishra (Safety Officer) - 8.0 yeaINR experience (Total qualifying peINR onnel: 3 engineeINR vs 5 mandatory). Generated: 2026-09-06 13:16:23 UTC | MoPNG Official Stamp,EXPERIENCE_ELIGIBILITY,PETROLEUM_PIPELINE,5,,YEARS,,,3,,,5,,2026-09,Cross-Country Pipeline,Petroleum & Natural Gas,Pipeline Engineer,,,"[""Experience: 5 Years"", ""Financial Year: 2026-09"", ""Personnel: 3 Engineers""]",LLM_WITH_REGEX_FALLBACK,0.388,PENDING
REQ-PDF-0024,Indus_Pipeline_Statutory_GST_PAN.pdf,1,INDUS PIPELINE INFRASTRUCTURE - STATUTORY CERTIFICATES MINISTRY OF PETROLEUM & NATURAL GAS - PIPELINE TENDER DOSSIER,INDUS PIPELINE INFRASTRUCTURE - STATUTORY CERTIFICATES MINISTRY OF PETROLEUM & NATURAL GAS - PIPELINE TENDER DOSSIER,EXPERIENCE_ELIGIBILITY,PETROLEUM_PIPELINE,,,,,,,,,,,,Natural Gas Pipeline,Hydrocarbon Pipeline Infrastructure,,,,[],LLM_EXTRACTION,0.426,PENDING
REQ-PDF-0025,Indus_Pipeline_Statutory_GST_PAN.pdf,1,1. GST & PAN REGISTRATION Entity: Indus Pipeline Infrastructure Limited GSTIN: 07AABCI5678K1Z2 (Delhi) PAN: AABCI5678K Status: ACTIVE Generated: 2026-09-06 13:16:23 UTC | MoPNG Official Stamp,1. GST & PAN REGISTRATION Entity: Indus Pipeline Infrastructure Limited GSTIN: 07AABCI5678K1Z2 (Delhi) PAN: AABCI5678K Status: ACTIVE Generated: 2026-09-06 13:16:23 UTC | MoPNG Official Stamp,GST_TAX_COMPLIANCE,PETROLEUM_PIPELINE,5678.0,,THOUSAND,INR,,,,,,,2026-09,,,,,Mandatory Active GSTIN Registration & Returns,"[""GST Registration Certificate"", ""Currency: 5678.0 THOUSAND (INR 5,678,000)"", ""Financial Year: 2026-09""]",LLM_WITH_REGEX_FALLBACK,0.485,PENDING
REQ-PDF-0026,Indus_Pipeline_Turnover_Financials.pdf,1,INDUS PIPELINE INFRASTRUCTURE - AUDITED ANNUAL TURNOVER MINISTRY OF PETROLEUM & NATURAL GAS - PIPELINE TENDER DOSSIER,INDUS PIPELINE INFRASTRUCTURE - AUDITED ANNUAL TURNOVER MINISTRY OF PETROLEUM & NATURAL GAS - PIPELINE TENDER DOSSIER,EXPERIENCE_ELIGIBILITY,PETROLEUM_PIPELINE,,,,,,,,,,,,Natural Gas Pipeline,Oil & Gas,,,,[],LLM_EXTRACTION,0.379,PENDING
REQ-PDF-0027,Indus_Pipeline_Turnover_Financials.pdf,1,"1. THREE-YEAR TURNOVER STATEMENT FY 2022-23: INR 6.50 Crore FY 2023-24: INR 7.20 Crore FY 2024-25: INR 6.80 Crore Average Annual Turnover: INR 6.83 Crore (Below tender threshold of INR 10.00 Crore, Shortfall: INR 3.17 Crore). Generated: 2026-09-06 13:16:23 UTC | MoPNG Official Stamp","1. THREE-Years TURNOVER STATEMENT FY 2022-23: INR 6.50 Crore FY 2023-24: INR 7.20 Crore FY 2024-25: INR 6.80 Crore Average Annual Turnover: INR 6.83 Crore (Below tender threshold of INR 10.00 Crore, Shortfall: INR 3.17 Crore). Generated: 2026-09-06 13:16:23 UTC | MoPNG Official Stamp",FINANCIAL_ELIGIBILITY,OIL_GAS,6.5,,CRORE,INR,,,,,,,FY 2022-23,,Oil & Gas,,,,"[""Turnover: 6.5 CRORE"", ""Currency: 6.5 CRORE (INR 65,000,000)"", ""Financial Year: FY 2022-23"", ""Financial Year: FY 2023-24"", ""Financial Year: FY 2024-25"", ""Financial Year: 2026-09""]",LLM_WITH_REGEX_FALLBACK,0.794,PENDING
REQ-PDF-0028,PetroCon_95km_CGD_Experience.pdf,1,PETROCON ENERGY PROJECTS - GAS PIPELINE EXPERIENCE CERTIFICATE MINISTRY OF PETROLEUM & NATURAL GAS - PIPELINE TENDER DOSSIER,PETROCON ENERGY PROJECTS - GAS PIPELINE EXPERIENCE CERTIFICATE MINISTRY OF PETROLEUM & NATURAL GAS - PIPELINE TENDER DOSSIER,EXPERIENCE_ELIGIBILITY,PETROLEUM_PIPELINE,,,,,,,,,,,,Natural Gas Pipeline,Petroleum & Natural Gas,,,,[],LLM_EXTRACTION,0.646,PENDING
REQ-PDF-0029,PetroCon_95km_CGD_Experience.pdf,1,"1. GUJARAT GAS CITY GAS DISTRIBUTION PIPELINE NETWORK Issued to: PetroCon Infra JV (Affiliate Entity of PetroCon Energy Projects LLP). Scope: Laying of 95 km, 12-inch and 16-inch medium-pressure natural gas network in Surat-Navsari Geographical Area. Status: Executed 95 km length. Requires officer discretion on affiliate entity certificate and diameter threshold. Generated: 2026-09-06 13:16:23 UTC | MoPNG Official Stamp","1. GUJARAT GAS CITY GAS DISTRIBUTION PIPELINE NETWORK Issued to: PetroCon Infra JV (Affiliate Entity of PetroCon Energy Projects LLP). Scope: Laying of 95 KM, 12-inch and 16-inch medium-pressure natural gas network in Surat-Navsari Geographical Area. Status: Executed 95 KM length. Requires officer discretion on affiliate entity certificate and diameter threshold. Generated: 2026-09-06 13:16:23 UTC | MoPNG Official Stamp",EXPERIENCE_ELIGIBILITY,PETROLEUM_PIPELINE,95.0,,KM,INR,,,95.0,12.0,,,2026-09,Natural Gas Pipeline,Petroleum & Natural Gas,,,,"[""Length: 95.0 KM"", ""Diameter: 12.0 Inch"", ""Currency: 95.0 THOUSAND (INR 95,000)"", ""Financial Year: 2026-09""]",LLM_WITH_REGEX_FALLBACK,0.324,PENDING
REQ-PDF-0030,PetroCon_Audited_Financials.pdf,1,PETROCON ENERGY PROJECTS - FINANCIAL TURNOVER MINISTRY OF PETROLEUM & NATURAL GAS - PIPELINE TENDER DOSSIER,PETROCON ENERGY PROJECTS - FINANCIAL TURNOVER MINISTRY OF PETROLEUM & NATURAL GAS - PIPELINE TENDER DOSSIER,EXPERIENCE_ELIGIBILITY,PETROLEUM_PIPELINE,,,,,,,,,,,,Natural Gas Pipeline,Oil & Gas,,,,[],LLM_EXTRACTION,0.417,PENDING
REQ-PDF-0031,PetroCon_Audited_Financials.pdf,1,1. TURNOVER FIGURES FY 2022-23: INR 12.00 Crore FY 2023-24: INR 14.00 Crore FY 2024-25: INR 11.50 Crore Average Annual Turnover: INR 12.50 Crore (Exceeds ·10.00 Cr requirement). Generated: 2026-09-06 13:16:23 UTC | MoPNG Official Stamp,1. TURNOVER FIGURES FY 2022-23: INR 12.00 Crore FY 2023-24: INR 14.00 Crore FY 2024-25: INR 11.50 Crore Average Annual Turnover: INR 12.50 Crore (Exceeds ·10.00 Crore requirement). Generated: 2026-09-06 13:16:23 UTC | MoPNG Official Stamp,FINANCIAL_ELIGIBILITY,OIL_GAS,12.0,,CRORE,INR,,,,,,,FY 2022-23,,Oil & Gas,,,,"[""Turnover: 12.0 CRORE"", ""Currency: 12.0 CRORE (INR 120,000,000)"", ""Financial Year: FY 2022-23"", ""Financial Year: FY 2023-24"", ""Financial Year: FY 2024-25"", ""Financial Year: 2026-09""]",LLM_WITH_REGEX_FALLBACK,0.731,PENDING
REQ-PDF-0032,PetroCon_Manpower_CVs.pdf,1,1. Hardik Shah (Senior Pipeline Engineer) - 10 years experience 2. Bhavesh Joshi (Mechanical Engineer) - 9 years experience 3. Chirag Dave (Welding Inspector),1. Hardik Shah (Senior Pipeline Engineer) - 10 yeaINR experience 2. Bhavesh Joshi (Mechanical Engineer) - 9 yeaINR experience 3. Chirag Dave (Welding Inspector),EXPERIENCE_ELIGIBILITY,PETROLEUM_PIPELINE,10,,YEARS,,,,,,10,,,Cross-Country Pipeline,Petroleum & Natural Gas,,,,"[""Experience: 10 Years""]",LLM_WITH_REGEX_FALLBACK,0.458,PENDING
REQ-PDF-0033,PetroCon_Manpower_CVs.pdf,1,- 8.5 years experience 4. Manish Vyas (NDT Level II) - 8.0 years experience 5. Nilesh Parmar (Assistant Pipeline Engineer) - 7.5 years experience (Slightly under 8 yrs). Generated: 2026-09-06 13:16:23 UTC | MoPNG Official Stamp,- 8.5 yeaINR experience 4. Manish Vyas (NDT Level II) - 8.0 yeaINR experience 5. Nilesh Parmar (Assistant Pipeline Engineer) - 7.5 yeaINR experience (Slightly under 8 yINR ). Generated: 2026-09-06 13:16:23 UTC | MoPNG Official Stamp,EXPERIENCE_ELIGIBILITY,PETROLEUM_PIPELINE,5,,YEARS,,,,,,5,,2026-09,Cross-Country Pipeline,Petroleum & Natural Gas,,,,"[""Experience: 5 Years"", ""Financial Year: 2026-09""]",LLM_WITH_REGEX_FALLBACK,0.488,PENDING
REQ-PDF-0034,PetroCon_Statutory_GST_PAN.pdf,1,PETROCON ENERGY PROJECTS - STATUTORY CERTIFICATES MINISTRY OF PETROLEUM & NATURAL GAS - PIPELINE TENDER DOSSIER,PETROCON ENERGY PROJECTS - STATUTORY CERTIFICATES MINISTRY OF PETROLEUM & NATURAL GAS - PIPELINE TENDER DOSSIER,EXPERIENCE_ELIGIBILITY,PETROLEUM_PIPELINE,,,,,,,,,,,,Natural Gas Pipeline,Hydrocarbon Pipeline Infrastructure,,,,[],LLM_EXTRACTION,0.44,PENDING
REQ-PDF-0035,PetroCon_Statutory_GST_PAN.pdf,1,1. LEGAL ENTITY & GST REGISTRATION Entity: PetroCon Energy Projects LLP (formerly PetroCon Infra JV) GSTIN: 24AABCP9012M1Z8,1. LEGAL ENTITY & GST REGISTRATION Entity: PetroCon Energy Projects LLP (formerly PetroCon Infra JV) GSTIN: 24AABCP9012M1Z8,GST_TAX_COMPLIANCE,GENERAL_GOVERNMENT_PROCUREMENT,,,,,,,,,,,,,,,,Mandatory Active GSTIN Registration & Returns,"[""GST Registration Certificate""]",LLM_EXTRACTION,0.643,PENDING
REQ-PDF-0036,PetroCon_Statutory_GST_PAN.pdf,1,(Gujarat) PAN: AABCP9012M Status: ACTIVE Generated: 2026-09-06 13:16:23 UTC | MoPNG Official Stamp,(Gujarat) PAN: AABCP9012M Status: ACTIVE Generated: 2026-09-06 13:16:23 UTC | MoPNG Official Stamp,GST_TAX_COMPLIANCE,OIL_GAS,,,,,,,,,,,2026-09,,Hydrocarbon Pipeline Infrastructure,,,,"[""Length: 9012.0 Meters"", ""Financial Year: 2026-09""]",LLM_WITH_REGEX_FALLBACK,0.156,PENDING
REQ-PDF-0037,Pipeline_Completion_Certificate_Praveen.pdf,1,PRAVEEN B S ENGINEERING SERVICES - PIPELINE COMPLETION CERTIFICATE MINISTRY OF PETROLEUM & NATURAL GAS - PIPELINE TENDER DOSSIER,PRAVEEN B S ENGINEERING SERVICES - PIPELINE COMPLETION CERTIFICATE MINISTRY OF PETROLEUM & NATURAL GAS - PIPELINE TENDER DOSSIER,EXPERIENCE_ELIGIBILITY,PETROLEUM_PIPELINE,,,,,,,,,,,,Natural Gas Pipeline,Hydrocarbon Pipeline Infrastructure,,,,[],LLM_EXTRACTION,0.488,PENDING
